Book,Url,Paragraph
Pride and Prejudice,https://www.gutenberg.org/files/1342/1342-h/1342-h.htm,"By this time, my dearest sister, you have received my hurried letter; I wish this may be more intelligible, but though not confined for time, my head is so bewildered that I cannot answer for being coherent. Dearest Lizzy, I hardly know what I would write, but I have bad news for you, and it cannot be delayed. Imprudent as the marriage between Mr. Wickham and our poor Lydia would be, we are now anxious to be assured it has taken place, for there is but too much reason to fear they are not gone to Scotland. Colonel Forster came yesterday, having left Brighton the day before, not many hours after the express. Though Lydia s short letter to Mrs. F. gave them to understand that they were going to Gretna Green, something was dropped by Denny expressing his belief that W. never intended to go there, or to marry Lydia at all, which was repeated to Colonel F., who, instantly taking the alarm, set off from B. intending to trace their route. He did trace them easily to Clapham, but no further; for on entering that place, they removed into a hackney coach, and dismissed the chaise that brought them from Epsom. All that is known after this is, that they were seen to continue the London road. I know not what to think. After making every possible enquiry on that side London, Colonel F. came on into Hertfordshire, anxiously renewing them at all the turnpikes, and at the inns in Barnet and Hatfield, but without any success no such people had been seen to pass through. With the kindest concern he came on to Longbourn, and broke his apprehensions to us in a manner most creditable to his heart. I am sincerely grieved for him and Mrs. F., but no one can throw any blame on them. Our distress, my dear Lizzy, is very great. My father and mother believe the worst, but I cannot think so ill of him. Many circumstances might make it more eligible for them to be married privately in town than to pursue their first plan; and even if he could form such a design against a young woman of Lydia s connections, which is not likely, can I suppose her so lost to everything? Impossible! I grieve to find, however, that Colonel F. is not disposed to depend upon their marriage; he shook his head when I expressed my hopes, and said he feared W. was not a man to be trusted. My poor mother is really ill, and keeps her room. Could she exert herself, it would be better; but this is not to be expected. And as to my father, I never in my life saw him so affected. Poor Kitty has anger for having concealed their attachment; but as it was a matter of confidence, one cannot wonder. I am truly glad, dearest Lizzy, that you have been spared something of these distressing scenes; but now, as the first shock is over, shall I own that I long for your return? I am not so selfish, however, as to press for it, if inconvenient. Adieu! I take up my pen again to do what I have just told you I would not; but circumstances are such that I cannot help earnestly begging you all to come here as soon as possible. I know my dear uncle and aunt so well, that I am not afraid of requesting it, though I have still something more to ask of the former. My father is going to London with Colonel Forster instantly, to try to discover her. What he means to do I am sure I know not; but his excessive distress will not allow him to pursue any measure in the best and safest way, and Colonel Forster is obliged to be at Brighton again to-morrow evening. In such an exigence, my uncle s advice and assistance would be everything in the world; he will immediately comprehend what I must feel, and I rely upon his goodness. "
Frankenstein,https://www.gutenberg.org/files/84/84-h/84-h.htm,"One of the phenomena which had peculiarly attracted my attention was the structure of the human frame, and, indeed, any animal endued with life. Whence, I often asked myself, did the principle of life proceed? It was a bold question, and one which has ever been considered as a mystery; yet with how many things are we upon the brink of becoming acquainted, if cowardice or carelessness did not restrain our inquiries. I revolved these circumstances in my mind and determined thenceforth to apply myself more particularly to those branches of natural philosophy which relate to physiology. Unless I had been animated by an almost supernatural enthusiasm, my application to this study would have been irksome and almost intolerable. To examine the causes of life, we must first have recourse to death. I became acquainted with the science of anatomy, but this was not sufficient; I must also observe the natural decay and corruption of the human body. In my education my father had taken the greatest precautions that my mind should be impressed with no supernatural horrors. I do not ever remember to have trembled at a tale of superstition or to have feared the apparition of a spirit. Darkness had no effect upon my fancy, and a churchyard was to me merely the receptacle of bodies deprived of life, which, from being the seat of beauty and strength, had become food for the worm. Now I was led to examine the cause and progress of this decay and forced to spend days and nights in vaults and charnel-houses. My attention was fixed upon every object the most insupportable to the delicacy of the human feelings. I saw how the fine form of man was degraded and wasted; I beheld the corruption of death succeed to the blooming cheek of life; I saw how the worm inherited the wonders of the eye and brain. I paused, examining and analysing all the minutiae of causation, as exemplified in the change from life to death, and death to life, until from the midst of this darkness a sudden light broke in upon me a light so brilliant and wondrous, yet so simple, that while I became dizzy with the immensity of the prospect which it illustrated, I was surprised that among so many men of genius who had directed their inquiries towards the same science, that I alone should be reserved to discover so astonishing a secret. "
Alice s Adventures in Wonderland,https://www.gutenberg.org/files/11/11-h/11-h.htm,"You are old, Father William, the young man said, And your hair has become very white; And yet you incessantly stand on your head Do you think, at your age, it is right? In my youth, Father William replied to his son, I feared it might injure the brain; But, now that I m perfectly sure I have none, Why, I do it again and again. You are old, said the youth, as I mentioned before, And have grown most uncommonly fat; Yet you turned a back-somersault in at the door Pray, what is the reason of that? In my youth, said the sage, as he shook his grey locks, I kept all my limbs very supple By the use of this ointment one shilling the box Allow me to sell you a couple? You are old, said the youth, and your jaws are too weak For anything tougher than suet; Yet you finished the goose, with the bones and the beak Pray, how did you manage to do it? In my youth, said his father, I took to the law, And argued each case with my wife; And the muscular strength, which it gave to my jaw, Has lasted the rest of my life. You are old, said the youth, one would hardly suppose That your eye was as steady as ever; Yet you balanced an eel on the end of your nose What made you so awfully clever? I have answered three questions, and that is enough, Said his father; don t give yourself airs! Do you think I can listen all day to such stuff? Be off, or I ll kick you down stairs!"
The Adventures of Sherlock Holmes,https://www.gutenberg.org/files/1661/1661-h/1661-h.htm,"I walked down to the station with them, and then wandered through the streets of the little town, finally returning to the hotel, where I lay upon the sofa and tried to interest myself in a yellow-backed novel. The puny plot of the story was so thin, however, when compared to the deep mystery through which we were groping, and I found my attention wander so continually from the action to the fact, that I at last flung it across the room and gave myself up entirely to a consideration of the events of the day. Supposing that this unhappy young man s story were absolutely true, then what hellish thing, what absolutely unforeseen and extraordinary calamity could have occurred between the time when he parted from his father, and the moment when, drawn back by his screams, he rushed into the glade? It was something terrible and deadly. What could it be? Might not the nature of the injuries reveal something to my medical instincts? I rang the bell and called for the weekly county paper, which contained a verbatim account of the inquest. In the surgeon s deposition it was stated that the posterior third of the left parietal bone and the left half of the occipital bone had been shattered by a heavy blow from a blunt weapon. I marked the spot upon my own head. Clearly such a blow must have been struck from behind. That was to some extent in favour of the accused, as when seen quarrelling he was face to face with his father. Still, it did not go for very much, for the older man might have turned his back before the blow fell. Still, it might be worth while to call Holmes attention to it. Then there was the peculiar dying reference to a rat. What could that mean? It could not be delirium. A man dying from a sudden blow does not commonly become delirious. No, it was more likely to be an attempt to explain how he met his fate. But what could it indicate? I cudgelled my brains to find some possible explanation. And then the incident of the grey cloth seen by young McCarthy. If that were true the murderer must have dropped some part of his dress, presumably his overcoat, in his flight, and must have had the hardihood to return and to carry it away at the instant when the son was kneeling with his back turned not a dozen paces off. What a tissue of mysteries and improbabilities the whole thing was! I did not wonder at Lestrade s opinion, and yet I had so much faith in Sherlock Holmes insight that I could not lose hope as long as every fresh fact seemed to strengthen his conviction of young McCarthy s innocence. "
Moby Dick; Or the Whale,https://www.gutenberg.org/files/2701/2701-h/2701-h.htm,"There now s the old Mogul, soliloquized Stubb by the try-works, he s been twigging it; and there goes Starbuck from the same, and both with faces which I should say might be somewhere within nine fathoms long. And all from looking at a piece of gold, which did I have it now on Negro Hill or in Corlaer s Hook, I d not look at it very long ere spending it. Humph! in my poor, insignificant opinion, I regard this as queer. I have seen doubloons before now in my voyagings; your doubloons of old Spain, your doubloons of Peru, your doubloons of Chili, your doubloons of Bolivia, your doubloons of Popayan; with plenty of gold moidores and pistoles, and joes, and half joes, and quarter joes. What then should there be in this doubloon of the Equator that is so killing wonderful? By Golconda! let me read it once. Halloa! here s signs and wonders truly! That, now, is what old Bowditch in his Epitome calls the zodiac, and what my almanac below calls ditto. I ll get the almanac and as I have heard devils can be raised with Daboll s arithmetic, I ll try my hand at raising a meaning out of these queer curvicues here with the Massachusetts calendar. Here s the book. Let s see now. Signs and wonders; and the sun, he s always among em. Hem, hem, hem; here they are here they go all alive: Aries, or the Ram; Taurus, or the Bull and Jimimi! here s Gemini himself, or the Twins. Well; the sun he wheels among em. Aye, here on the coin he s just crossing the threshold between two of twelve sitting-rooms all in a ring. Book! you lie there; the fact is, you books must know your places. You ll do to give us the bare words and facts, but we come in to supply the thoughts. That s my small experience, so far as the Massachusetts calendar, and Bowditch s navigator, and Daboll s arithmetic go. Signs and wonders, eh? Pity if there is nothing wonderful in signs, and significant in wonders! There s a clue somewhere; wait a bit; hist hark! By Jove, I have it! Look you, Doubloon, your zodiac here is the life of man in one round chapter; and now I ll read it off, straight out of the book. Come, Almanack! To begin: there s Aries, or the Ram lecherous dog, he begets us; then, Taurus, or the Bull he bumps us the first thing; then Gemini, or the Twins that is, Virtue and Vice; we try to reach Virtue, when lo! comes Cancer the Crab, and drags us back; and here, going from Virtue, Leo, a roaring Lion, lies in the path he gives a few fierce bites and surly dabs with his paw; we escape, and hail Virgo, the Virgin! that s our first love; we marry and think to be happy for aye, when pop comes Libra, or the Scales happiness weighed and found wanting; and while we are very sad about that, Lord! how we suddenly jump, as Scorpio, or the Scorpion, stings us in the rear; we are curing the wound, when whang come the arrows all round; Sagittarius, or the Archer, is amusing himself. As we pluck out the shafts, stand aside! here s the battering-ram, Capricornus, or the Goat; full tilt, he comes rushing, and headlong we are tossed; when Aquarius, or the Water-bearer, pours out his whole deluge and drowns us; and to wind up with Pisces, or the Fishes, we sleep. There s a sermon now, writ in high heaven, and the sun goes through it every year, and yet comes out of it all alive and hearty. Jollily he, aloft there, wheels through toil and trouble; and so, alow here, does jolly Stubb. Oh, jolly s the word for aye! Adieu, Doubloon! But stop; here comes little King-Post; dodge round the try-works, now, and let s hear what he ll have to say. There; he s before it; he ll out with something presently. So, so; he s beginning. "
Beowulf: An Anglo-Saxon Epic Poem,https://www.gutenberg.org/files/16328/16328-h/16328-h.htm,"Perhaps every Anglo-Saxon scholar has his own theory as to how Beowulf should be translated. Some have given us prose versions of what we believe to be a great poem. Is it any reflection on our honored Kemble and Arnold to say that their translations fail to show a layman that Beowulf is justly called our first epic? Of those translators who have used verse, several have written [viii] from what would seem a mistaken point of view. Is it proper, for instance, that the grave and solemn speeches of Beowulf and Hrothgar be put in ballad measures, tripping lightly and airily along? Or, again, is it fitting that the rough martial music of Anglo-Saxon verse be interpreted to us in the smooth measures of modern blank verse? Do we hear what has been beautifully called the clanging tread of a warrior in mail ?"
The Prince,https://www.gutenberg.org/files/1232/1232-h/1232-h.htm,"From what has been related here it will be seen that Castruccio was a man of exceptional abilities, not only measured by men of his own time, but also by those of an earlier date. In stature he was above the ordinary height, and perfectly proportioned. He was of a gracious presence, and he welcomed men with such urbanity that those who spoke with him rarely left him displeased. His hair was inclined to be red, and he wore it cut short above the ears, and, whether it rained or snowed, he always went without a hat. He was delightful among friends, but terrible to his enemies; just to his subjects; ready to play false with the unfaithful, and willing to overcome by fraud those whom he desired to subdue, because he was wont to say that it was the victory that brought the glory, not the methods of achieving it. No one was bolder in facing danger, none more prudent in extricating himself. He was accustomed to say that men ought to attempt everything and fear nothing; that God is a lover of strong men, because one always sees that the weak are chastised by the strong. He was also wonderfully sharp or biting though courteous in his answers; and as he did not look for any indulgence in this way of speaking from others, so he was not angered with others did not show it to him. It has often happened that he has listened quietly when others have spoken sharply to him, as on the following occasions. He had caused a ducat to be given for a partridge, and was taken to task for doing so by a friend, to whom Castruccio had said: You would not have given more than a penny. That is true, answered the friend. Then said Castruccio to him: A ducat is much less to me. Having about him a flatterer on whom he had spat to show that he scorned him, the flatterer said to him: Fisherman are willing to let the waters of the sea saturate them in order that they may take a few little fishes, and I allow myself to be wetted by spittle that I may catch a whale; and this was not only heard by Castruccio with patience but rewarded. When told by a priest that it was wicked for him to live so sumptuously, Castruccio said: If that be a vice then you should not fare so splendidly at the feasts of our saints. Passing through a street he saw a young man as he came out of a house of ill fame blush at being seen by Castruccio, and said to him: Thou shouldst not be ashamed when thou comest out, but when thou goest into such places. A friend gave him a very curiously tied knot to undo and was told: Fool, do you think that I wish to untie a thing which gave so much trouble to fasten. Castruccio said to one who professed to be a philosopher: You are like the dogs who always run after those who will give them the best to eat, and was answered: We are rather like the doctors who go to the houses of those who have the greatest need of them. Going by water from Pisa to Leghorn, Castruccio was much disturbed by a dangerous storm that sprang up, and was reproached for cowardice by one of those with him, who said that he did not fear anything. Castruccio answered that he did not wonder at that, since every man valued his soul for what is was worth. Being asked by one what he ought to do to gain estimation, he said: When thou goest to a banquet take care that thou dost not seat one piece of wood upon another. To a person who was boasting that he had read many things, Castruccio said: He knows better than to boast of remembering many things. Someone bragged that he could drink much without becoming intoxicated. Castruccio replied: An ox does the same. Castruccio was acquainted with a girl with whom he had intimate relations, and being blamed by a friend who told him that it was undignified for him to be taken in by a woman, he said: She has not taken me in, I have taken her. Being also blamed for eating very dainty foods, he answered: Thou dost not spend as much as I do? and being told that it was true, he continued: Then thou art more avaricious than I am gluttonous. Being invited by Taddeo Bernardi, a very rich and splendid citizen of Luca, to supper, he went to the house and was shown by Taddeo into a chamber hung with silk and paved with fine stones representing flowers and foliage of the most beautiful colouring. Castruccio gathered some saliva in his mouth and spat it out upon Taddeo, and seeing him much disturbed by this, said to him: I knew not where to spit in order to offend thee less. Being asked how Caesar died he said: God willing I will die as he did. Being one night in the house of one of his gentlemen where many ladies were assembled, he was reproved by one of his friends for dancing and amusing himself with them more than was usual in one of his station, so he said: He who is considered wise by day will not be considered a fool at night. A person came to demand a favour of Castruccio, and thinking he was not listening to his plea threw himself on his knees to the ground, and being sharply reproved by Castruccio, said: Thou art the reason of my acting thus for thou hast thy ears in thy feet, whereupon he obtained double the favour he had asked. Castruccio used to say that the way to hell was an easy one, seeing that it was in a downward direction and you travelled blindfolded. Being asked a favour by one who used many superfluous words, he said to him: When you have another request to make, send someone else to make it. Having been wearied by a similar man with a long oration who wound up by saying: Perhaps I have fatigued you by speaking so long, Castruccio said: You have not, because I have not listened to a word you said. He used to say of one who had been a beautiful child and who afterwards became a fine man, that he was dangerous, because he first took the husbands from the wives and now he took the wives from their husbands. To an envious man who laughed, he said: Do you laugh because you are successful or because another is unfortunate? Whilst he was still in the charge of Messer Francesco Guinigi, one of his companions said to him: What shall I give you if you will let me give you a blow on the nose? Castruccio answered: A helmet. Having put to death a citizen of Lucca who had been instrumental in raising him to power, and being told that he had done wrong to kill one of his old friends, he answered that people deceived themselves; he had only killed a new enemy. Castruccio praised greatly those men who intended to take a wife and then did not do so, saying that they were like men who said they would go to sea, and then refused when the time came. He said that it always struck him with surprise that whilst men in buying an earthen or glass vase would sound it first to learn if it were good, yet in choosing a wife they were content with only looking at her. He was once asked in what manner he would wish to be buried when he died, and answered: With the face turned downwards, for I know when I am gone this country will be turned upside down. On being asked if it had ever occurred to him to become a friar in order to save his soul, he answered that it had not, because it appeared strange to him that Fra Lazerone should go to Paradise and Uguccione della Faggiuola to the Inferno. He was once asked when should a man eat to preserve his health, and replied: If the man be rich let him eat when he is hungry; if he be poor, then when he can. Seeing one of his gentlemen make a member of his family lace him up, he said to him: I pray God that you will let him feed you also. Seeing that someone had written upon his house in Latin the words: May God preserve this house from the wicked, he said, The owner must never go in. Passing through one of the streets he saw a small house with a very large door, and remarked: That house will fly through the door. He was having a discussion with the ambassador of the King of Naples concerning the property of some banished nobles, when a dispute arose between them, and the ambassador asked him if he had no fear of the king. Is this king of yours a bad man or a good one? asked Castruccio, and was told that he was a good one, whereupon he said, Why should you suggest that I should be afraid of a good man?"
The Picture of Dorian Gray,https://www.gutenberg.org/files/174/174-h/174-h.htm,"Such, at any rate, was Dorian Gray s opinion. He used to wonder at the shallow psychology of those who conceive the ego in man as a thing simple, permanent, reliable, and of one essence. To him, man was a being with myriad lives and myriad sensations, a complex multiform creature that bore within itself strange legacies of thought and passion, and whose very flesh was tainted with the monstrous maladies of the dead. He loved to stroll through the gaunt cold picture-gallery of his country house and look at the various portraits of those whose blood flowed in his veins. Here was Philip Herbert, described by Francis Osborne, in his Memoires on the Reigns of Queen Elizabeth and King James, as one who was caressed by the Court for his handsome face, which kept him not long company. Was it young Herbert s life that he sometimes led? Had some strange poisonous germ crept from body to body till it had reached his own? Was it some dim sense of that ruined grace that had made him so suddenly, and almost without cause, give utterance, in Basil Hallward s studio, to the mad prayer that had so changed his life? Here, in gold-embroidered red doublet, jewelled surcoat, and gilt-edged ruff and wristbands, stood Sir Anthony Sherard, with his silver-and-black armour piled at his feet. What had this man s legacy been? Had the lover of Giovanna of Naples bequeathed him some inheritance of sin and shame? Were his own actions merely the dreams that the dead man had not dared to realize? Here, from the fading canvas, smiled Lady Elizabeth Devereux, in her gauze hood, pearl stomacher, and pink slashed sleeves. A flower was in her right hand, and her left clasped an enamelled collar of white and damask roses. On a table by her side lay a mandolin and an apple. There were large green rosettes upon her little pointed shoes. He knew her life, and the strange stories that were told about her lovers. Had he something of her temperament in him? These oval, heavy-lidded eyes seemed to look curiously at him. What of George Willoughby, with his powdered hair and fantastic patches? How evil he looked! The face was saturnine and swarthy, and the sensual lips seemed to be twisted with disdain. Delicate lace ruffles fell over the lean yellow hands that were so overladen with rings. He had been a macaroni of the eighteenth century, and the friend, in his youth, of Lord Ferrars. What of the second Lord Beckenham, the companion of the Prince Regent in his wildest days, and one of the witnesses at the secret marriage with Mrs. Fitzherbert? How proud and handsome he was, with his chestnut curls and insolent pose! What passions had he bequeathed? The world had looked upon him as infamous. He had led the orgies at Carlton House. The star of the Garter glittered upon his breast. Beside him hung the portrait of his wife, a pallid, thin-lipped woman in black. Her blood, also, stirred within him. How curious it all seemed! And his mother with her Lady Hamilton face and her moist, wine-dashed lips he knew what he had got from her. He had got from her his beauty, and his passion for the beauty of others. She laughed at him in her loose Bacchante dress. There were vine leaves in her hair. The purple spilled from the cup she was holding. The carnations of the painting had withered, but the eyes were still wonderful in their depth and brilliancy of colour. They seemed to follow him wherever he went. "
The Scarlet Letter,https://www.gutenberg.org/files/25344/25344-h/25344-h.htm,"The father of the Custom-House the patriarch, not only of this little squad of officials, but, I am bold to say, of the respectable body of tide-waiters all over the United States was a certain permanent Inspector. He might truly be termed a legitimate son of the revenue system, dyed in the wool, or, rather, born in the purple; since his sire, a Revolutionary colonel, and formerly collector of the port, had created an office for him, and appointed him to fill it, at a period of the early ages which few living men can now remember. This Inspector, when I first knew him, was a man of fourscore years, or thereabouts, and certainly one of the most wonderful specimens of winter-green[17] that you would be likely to discover in a lifetime s search. With his florid cheek, his compact figure, smartly arrayed in a bright-buttoned blue coat, his brisk and vigorous step, and his hale and hearty aspect, altogether he seemed not young, indeed but a kind of new contrivance of Mother Nature in the shape of man, whom age and infirmity had no business to touch. His voice and laugh, which perpetually re-echoed through the Custom-House, had nothing of the tremulous quaver and cackle of an old man s utterance; they came strutting out of his lungs, like the crow of a cock, or the blast of a clarion. Looking at him merely as an animal, and there was very little else to look at, he was a most satisfactory object, from the thorough healthfulness and wholesomeness of his system, and his capacity, at that extreme age, to enjoy all, or nearly all, the delights which he had ever aimed at, or conceived of. The careless security of his life in the Custom-House, on a regular income, and with but slight and infrequent apprehensions of removal, had no doubt contributed to make time pass lightly over him. The original and more potent causes, however, lay in the rare perfection of his animal nature, the moderate proportion of intellect, and the very trifling admixture of moral and spiritual ingredients; these latter qualities, indeed, being in barely enough measure to keep the old gentleman from walking on all-fours. He possessed no power of thought, no depth of feeling, no troublesome sensibilities; nothing, in short, but a few commonplace instincts, which, aided by the cheerful temper that grew inevitably out of his physical well-being, did duty very respectably, and to general acceptance, in lieu of a heart. He had been the husband of three wives, all long since dead; the father of twenty children, most of whom, at every age of childhood or maturity, had likewise[18] returned to dust. Here, one would suppose, might have been sorrow enough to imbue the sunniest disposition, through and through, with a sable tinge. Not so with our old Inspector! One brief sigh sufficed to carry off the entire burden of these dismal reminiscences. The next moment, he was as ready for sport as any unbreeched infant; far readier than the Collector s junior clerk, who, at nineteen years, was much the elder and graver man of the two. "
A Tale of Two Cities,https://www.gutenberg.org/files/98/98-h/98-h.htm,"Mr. Attorney-General had to inform the jury, that the prisoner before them, though young in years, was old in the treasonable practices which claimed the forfeit of his life. That this correspondence with the public enemy was not a correspondence of to-day, or of yesterday, or even of last year, or of the year before. That, it was certain the prisoner had, for longer than that, been in the habit of passing and repassing between France and England, on secret business of which he could give no honest account. That, if it were in the nature of traitorous ways to thrive (which happily it never was), the real wickedness and guilt of his business might have remained undiscovered. That Providence, however, had put it into the heart of a person who was beyond fear and beyond reproach, to ferret out the nature of the prisoner s schemes, and, struck with horror, to disclose them to his Majesty s Chief Secretary of State and most honourable Privy Council. That, this patriot would be produced before them. That, his position and attitude were, on the whole, sublime. That, he had been the prisoner s friend, but, at once in an auspicious and an evil hour detecting his infamy, had resolved to immolate the traitor he could no longer cherish in his bosom, on the sacred altar of his country. That, if statues were decreed in Britain, as in ancient Greece and Rome, to public benefactors, this shining citizen would assuredly have had one. That, as they were not so decreed, he probably would not have one. That, Virtue, as had been observed by the poets (in many passages which he well knew the jury would have, word for word, at the tips of their tongues; whereat the jury s countenances displayed a guilty consciousness that they knew nothing about the passages), was in a manner contagious; more especially the bright virtue known as patriotism, or love of country. That, the lofty example of this immaculate and unimpeachable witness for the Crown, to refer to whom however unworthily was an honour, had communicated itself to the prisoner s servant, and had engendered in him a holy determination to examine his master s table-drawers and pockets, and secrete his papers. That, he (Mr. Attorney-General) was prepared to hear some disparagement attempted of this admirable servant; but that, in a general way, he preferred him to his (Mr. Attorney-General s) brothers and sisters, and honoured him more than his (Mr. Attorney-General s) father and mother. That, he called with confidence on the jury to come and do likewise. That, the evidence of these two witnesses, coupled with the documents of their discovering that would be produced, would show the prisoner to have been furnished with lists of his Majesty s forces, and of their disposition and preparation, both by sea and land, and would leave no doubt that he had habitually conveyed such information to a hostile power. That, these lists could not be proved to be in the prisoner s handwriting; but that it was all the same; that, indeed, it was rather the better for the prosecution, as showing the prisoner to be artful in his precautions. That, the proof would go back five years, and would show the prisoner already engaged in these pernicious missions, within a few weeks before the date of the very first action fought between the British troops and the Americans. That, for these reasons, the jury, being a loyal jury (as he knew they were), and being a responsible jury (as they knew they were), must positively find the prisoner Guilty, and make an end of him, whether they liked it or not. That, they never could lay their heads upon their pillows; that, they never could tolerate the idea of their wives laying their heads upon their pillows; that, they never could endure the notion of their children laying their heads upon their pillows; in short, that there never more could be, for them or theirs, any laying of heads upon pillows at all, unless the prisoner s head was taken off. That head Mr. Attorney-General concluded by demanding of them, in the name of everything he could think of with a round turn in it, and on the faith of his solemn asseveration that he already considered the prisoner as good as dead and gone. "
